time,symbol,direction,entry,tp,sl,result,pnl
2025-05-21 19:30:16,ICXUSDT,LONG,0.1078,0.1097,0.1097,pending,0
2025-05-21 19:30:59,ZENUSDT,LONG,9.65,10.089,10.089,pending,0
2025-05-21 19:31:34,APEUSDT,LONG,0.666,0.69,0.69,pending,0
2025-05-21 19:32:23,STXUSDT,LONG,0.9067,0.9492,0.9492,pending,0
2025-05-21 19:33:15,UMAUSDT,LONG,1.218,1.252,1.252,pending,0
2025-05-21 19:35:33,DASHUSDT,LONG,23.77,24.27,22.89,pending,0
2025-05-21 19:36:54,MTLUSDT,LONG,0.8191,0.837,0.7888,pending,0
2025-05-21 19:37:38,ARPAUSDT,LONG,0.02557,0.02622,0.02443,pending,0
2025-05-21 19:38:17,GMTUSDT,LONG,0.059,0.06088,0.05555,pending,0
2025-05-21 19:39:14,ARBUSDT,LONG,0.4039,0.4184,0.3793,pending,0
2025-05-21 19:40:03,MAVUSDT,LONG,0.06875,0.07097,0.06504,pending,0
2025-05-21 19:40:42,HIFIUSDT,SHORT,0.1128,0.1099,0.1162,pending,0
2025-05-21 19:41:21,RIFUSDT,LONG,0.05556,0.05672,0.05344,pending,0
2025-05-21 19:42:02,TOKENUSDT,LONG,0.02502,0.02617,0.02294,pending,0
2025-05-21 19:42:40,KASUSDT,LONG,0.11176,0.1156,0.10537,pending,0
2025-05-21 19:43:18,AUCTIONUSDT,LONG,11.875,12.132,11.441,pending,0
2025-05-21 19:43:52,NFPUSDT,LONG,0.0878,0.0906,0.0829,pending,0
2025-05-21 19:44:25,MANTAUSDT,LONG,0.2804,0.292,0.2589,pending,0
2025-05-21 19:45:08,VANRYUSDT,LONG,0.03776,0.0397,0.03447,pending,0
2025-05-21 19:45:41,ENAUSDT,LONG,0.3942,0.4138,0.3578,pending,0
2025-05-21 19:47:26,PONKEUSDT,LONG,0.17292,0.17999,0.16134,pending,0
2025-05-21 19:47:58,1000000MOGUSDT,LONG,1.1485,1.2222,1.0229,pending,0
2025-05-21 19:48:36,SLERFUSDT,LONG,0.0868,0.0895,0.0822,pending,0
2025-05-21 19:48:37,SCRTUSDT,LONG,0.2164,0.2213,0.2073,pending,0
2025-05-21 19:48:47,RAYSOLUSDT,LONG,3.2561,3.3807,3.0542,pending,0
2025-05-21 19:49:22,SPXUSDT,LONG,0.7839,0.8333,0.7026,pending,0
2025-05-21 19:49:55,MEUSDT,LONG,0.966,0.993,0.917,pending,0
2025-05-21 19:50:41,PENGUUSDT,LONG,0.013351,0.014004,0.012202,pending,0
2025-05-21 19:51:42,VINEUSDT,LONG,0.0496,0.05192,0.04541,pending,0
2025-05-21 19:52:23,B3USDT,LONG,0.005307,0.005459,0.005044,pending,0
2025-05-21 19:53:02,BROCCOLI714USDT,LONG,0.0326,0.03388,0.03031,pending,0
2025-05-21 19:53:47,MLNUSDT,LONG,8.78,8.95,8.48,pending,0
2025-05-21 19:55:50,XRPUSDT,LONG,2.3842,2.4284,2.3125,pending,0
2025-05-21 19:56:32,QTUMUSDT,LONG,2.294,2.341,2.209,pending,0
2025-05-21 19:56:35,ZILUSDT,LONG,0.01298,0.01334,0.01234,pending,0
2025-05-21 19:57:06,KNCUSDT,LONG,0.3699,0.3779,0.3556,pending,0
2025-05-21 19:57:49,DOTUSDT,LONG,4.748,4.876,4.515,pending,0
2025-05-21 19:58:28,SUSHIUSDT,LONG,0.7381,0.7682,0.687,pending,0
2025-05-21 19:59:04,STORJUSDT,LONG,0.301,0.3079,0.2888,pending,0
2025-05-21 19:59:41,ENJUSDT,LONG,0.08939,0.09219,0.08439,pending,0
2025-05-21 20:00:16,FILUSDT,LONG,2.912,3.001,2.759,pending,0
2025-05-21 20:00:53,BELUSDT,LONG,0.3418,0.3512,0.3265,pending,0
2025-05-21 20:00:57,1INCHUSDT,LONG,0.2296,0.2366,0.217,pending,0
2025-05-21 20:01:32,RVNUSDT,LONG,0.01263,0.01295,0.0121,pending,0
2025-05-21 20:22:17,ALTUSDT,LONG,0.03421,0.0353,0.03245,pending,0
2025-05-21 20:23:42,PNUTUSDT,LONG,0.35199,0.37869,0.3087,pending,0
2025-05-21 21:37:56,ALGOUSDT,LONG,0.2266,0.2332,0.2159,pending,0
2025-05-21 21:42:07,DOGSUSDT,LONG,0.0001933,0.0002035,0.0001768,pending,0
2025-05-21 21:49:08,BAKEUSDT,LONG,0.1306,0.12561,0.131733,pending,0
2025-05-21 21:51:51,BNTUSDT,SHORT,0.7061,0.728191,0.7011523000000001,pending,0
2025-05-21 21:52:59,ETHWUSDT,LONG,1.7237,1.67085,1.735785,pending,0
2025-05-21 21:53:49,ALTUSDT,LONG,0.03399,0.0326199999999999,0.034297,pending,0
2025-05-21 21:55:47,XTZUSDT,LONG,0.624,0.6065,0.62795,pending,0
2025-05-21 21:59:47,XTZUSDT,LONG,0.624,0.6065,0.62795,pending,0
2025-05-21 22:02:08,XRPUSDT,LONG,2.3789,2.32821,2.390493,pending,0
2025-05-21 22:06:07,OXTUSDT,LONG,0.0646,0.063029,0.0649517,pending,0
2025-05-21 22:14:26,XTZUSDT,LONG,0.624,0.6174999999999999,0.6142042857142858,pending,0
2025-05-21 22:16:05,OMGUSDT,LONG,0.291,0.291,0.291,pending,0
